Date;Open;High;Low;Close;Volume
2024.01.02 00:00;2064.98;2069.97;2062.17;2066.53;18755
2024.01.02 04:00;2066.5;2074.95;2063.89;2074.34;22517
2024.01.02 08:00;2074.36;2078.99;2071.7;2077.14;71082
2024.01.02 12:00;2077.14;2077.87;2064.76;2066.37;93911
2024.01.02 16:00;2066.38;2070.79;2055.82;2062.63;136120
2024.01.02 20:00;2062.66;2065.02;2057.83;2058.89;34267
2024.01.03 00:00;2058.97;2062.61;2058.63;2062.42;14360
2024.01.03 04:00;2062.4;2066.05;2061.47;2064.05;16843
2024.01.03 08:00;2064.05;2065.46;2054.2;2056.8;64244
2024.01.03 12:00;2056.81;2057.25;2038.6;2041;105773
2024.01.03 16:00;2041.01;2048.8;2030.49;2033.33;164413
2024.01.03 20:00;2033.23;2042.43;2030.49;2041.04;76240
2024.01.04 00:00;2042.14;2043.95;2039.98;2042.18;13590
2024.01.04 04:00;2042.16;2046.92;2042.16;2043.64;20830
2024.01.04 08:00;2043.61;2051.04;2043.5;2048;74016
2024.01.04 12:00;2047.88;2050.82;2038.68;2040.09;77958
2024.01.04 16:00;2040.1;2047.73;2036.1;2043.23;109667
2024.01.04 20:00;2043.24;2044.92;2041.4;2043.5;28116
2024.01.05 00:00;2043.43;2048.31;2042.64;2046.08;15140
2024.01.05 04:00;2046.1;2047.86;2043.01;2044.44;15338
2024.01.05 08:00;2044.44;2047.06;2038.32;2039.03;61833
2024.01.05 12:00;2039.03;2042.02;2024.34;2040.05;109508
2024.01.05 16:00;2040.06;2064.07;2038.64;2042.05;221326
2024.01.05 20:00;2042.04;2050.42;2040.39;2045.06;56098
2024.01.08 00:00;2044.75;2046.55;2042.74;2043.71;13868
2024.01.08 04:00;2043.71;2043.84;2026.89;2030.74;32934
2024.01.08 08:00;2030.7;2033.31;2026.4;2028.98;81175
2024.01.08 12:00;2028.98;2029.59;2016.61;2019.05;101478
2024.01.08 16:00;2019.06;2036.95;2018.38;2027.59;123843
2024.01.08 20:00;2027.56;2029.91;2026.01;2027.92;33359
2024.01.09 00:00;2028.37;2035.71;2027.84;2032.19;17569
2024.01.09 04:00;2032.16;2035.82;2030.17;2032.78;23542
2024.01.09 08:00;2032.76;2038.34;2031.06;2035.43;73476
2024.01.09 12:00;2035.43;2042.09;2031.55;2038.75;85210
2024.01.09 16:00;2038.74;2040.23;2025.95;2027.74;130641
2024.01.09 20:00;2027.74;2031.21;2026.69;2030.02;46279
2024.01.10 00:00;2030.7;2032.55;2027.12;2031.75;14933
2024.01.10 04:00;2031.75;2032.91;2025.5;2026.61;21769
2024.01.10 08:00;2026.7;2036.21;2023.72;2035.69;80651
2024.01.10 12:00;2035.67;2040.37;2029.89;2030.28;81887
2024.01.10 16:00;2030.27;2033.5;2022.1;2024;129542
2024.01.10 20:00;2023.97;2025.1;2020.31;2024.09;70873
2024.01.11 00:00;2025.02;2030.42;2024.61;2029.75;14870
2024.01.11 04:00;2029.75;2034.67;2028.67;2032.94;22475
2024.01.11 08:00;2032.94;2035.75;2030.06;2031.18;61864
2024.01.11 12:00;2031.18;2045.8;2025.13;2029.39;119357
2024.01.11 16:00;2029.4;2034.91;2013.16;2014.45;240758
2024.01.11 20:00;2014.42;2029.66;2013.72;2028.63;80545
2024.01.12 00:00;2029.29;2035.68;2029.15;2033.82;23419
2024.01.12 04:00;2033.85;2037.21;2032.71;2036;18213
2024.01.12 08:00;2035.98;2040.15;2034.04;2038.11;76003
2024.01.12 12:00;2038.1;2056.71;2037.92;2056.02;155707
2024.01.12 16:00;2056;2062.33;2041.29;2044.02;228868
2024.01.12 20:00;2044;2049.26;2042.87;2048.76;60402
2024.01.15 00:00;2048.46;2051.45;2045.68;2051.07;19446
2024.01.15 04:00;2050.97;2058.09;2049.7;2054.97;27895
2024.01.15 08:00;2054.97;2058.66;2052.8;2054.99;68309
2024.01.15 12:00;2055;2055.23;2051.27;2054.33;64574
2024.01.15 16:00;2054.34;2056.41;2049.15;2055.46;63631
2024.01.15 20:00;2055.48;2055.53;2053.49;2054.6;5198
2024.01.16 00:00;2055.07;2055.59;2049.81;2050.8;19701
2024.01.16 04:00;2050.79;2051.65;2047.41;2048.52;21066
2024.01.16 08:00;2048.42;2050.99;2038.62;2041.21;84247
2024.01.16 12:00;2041.21;2045.22;2031.22;2037.58;112380
2024.01.16 16:00;2037.59;2042.69;2024.82;2025.19;176581
2024.01.16 20:00;2025.21;2030.22;2024.19;2028.21;50085
2024.01.17 00:00;2027.75;2030.75;2025.56;2030.21;18692
2024.01.17 04:00;2030.19;2033;2019.35;2020.62;33974
2024.01.17 08:00;2020.65;2026.7;2017.49;2023.89;96561
2024.01.17 12:00;2023.89;2029.08;2019.05;2022.45;131873
2024.01.17 16:00;2022.42;2023.14;2003.28;2006.93;209112
2024.01.17 20:00;2006.94;2007.26;2001.68;2006.2;71891
2024.01.18 00:00;2006.87;2012.01;2006.73;2011.57;17156
2024.01.18 04:00;2011.57;2011.86;2005.65;2009.08;22254
2024.01.18 08:00;2009.08;2014.17;2008.03;2010.13;79540
2024.01.18 12:00;2010.13;2017.34;2007.29;2008.93;103964
2024.01.18 16:00;2009.14;2017.82;2008.94;2016.22;154252
2024.01.18 20:00;2016.42;2023.31;2015.45;2022.84;58627
2024.01.19 00:00;2024.17;2025.55;2021.01;2023.97;19363
2024.01.19 04:00;2023.97;2025.07;2020.26;2021.68;16296
2024.01.19 08:00;2021.66;2030.95;2020.73;2029.89;74132
2024.01.19 12:00;2029.9;2039.5;2028.65;2035.2;91520
2024.01.19 16:00;2035.21;2035.81;2022.94;2028.93;165583
